,paper_id,title,itemType,abstract,publication,year
10,P3619,GUIdock: Using Docker Containers with a Common Graphics User Interface to Address the Reproducibility of Research,journalArticle,"Reproducibility is vital in science. For complex computational methods, it is often necessary, not just to recreate the code, but also the software and hardware environment to reproduce results. Virtual machines, and container software such as Docker, make it possible to reproduce the exact environment regardless of the underlying hardware and operating system. However, workflows that use Graphical User Interfaces (GUIs) remain difficult to replicate on different host systems as there is no high level graphical software layer common to all platforms. GUIdock allows for the facile distribution of a systems biology application along with its graphics environment. Complex graphics based workflows, ubiquitous in systems biology, can now be easily exported and reproduced on many different platforms. GUIdock uses Docker, an open source project that provides a container with only the absolutely necessary software dependencies and configures a common X Windows (X11) graphic interface on Linux, Macintosh and Windows platforms. As proof of concept, we present a Docker package that contains a Bioconductor application written in R and C++ called networkBMA for gene network inference. Our package also includes Cytoscape, a java-based platform with a graphical user interface for visualizing and analyzing gene networks, and the CyNetworkBMA app, a Cytoscape app that allows the use of networkBMA via the user-friendly Cytoscape interface.",PLoS ONE,2016
11,P6488,Software Provisioning Inside a Secure Environment as Docker Containers Using Stroll File-System,conferencePaper,,IEEE,2016
12,P7591,Using Docker for automatic Galaxy deployment,conferencePaper,,,2016
13,P7627,Utilisation de Docker en bioinformatique dans le cloud de IFB,conferencePaper,,,2016
14,P102,A CyberGIS-Jupyter Framework for Geospatial Analytics at Scale,conferencePaper,"The interdisciplinary field of cyberGIS (geographic information science and systems (GIS) based on advanced cyberinfrastructure) has a major focus on data- and computation-intensive geospatial analytics. The rapidly growing needs across many application and science domains for such analytics based on disparate geospatial big data poses significant challenges to conventional GIS approaches. This paper describes CyberGIS-Jupyter, an innovative cyberGIS framework for achieving data-intensive, reproducible, and scalable geospatial analytics using the Jupyter Notebook based on ROGER - the first cyberGIS supercomputer. The framework adapts the Notebook with built-in cyberGIS capabilities to accelerate gateway application development and sharing while associated data, analytics and workflow runtime environments are encapsulated into application packages that can be elastically reproduced through cloud computing approaches. As a desirable outcome, data-intensive and scalable geospatial analytics can be efficiently developed and improved, and seamlessly reproduced among multidisciplinary users in a novel cyberGIS science gateway environment.",ACM,2017
15,P580,An Architecture for Genomics Analysis in a Clinical Setting Using Galaxy and Docker,journalArticle,"BackgroundNext Generation Sequencing is used on a daily basis to perform molecular analysis to determine subtypes of disease (e.g., in cancer) and to assist in the selection of the optimal treatment. Clinical bioinformatics handles the manipulation of the data generated by the sequencer, from the generation to the analysis and interpretation. Reproducibility and traceability are crucial issues in a clinical setting.ResultsWe have designed an approach based on the Docker container technology and Galaxy, the popular bioinformatics analysis support open-source software. Our solution simplifies the deployment of a small size analytical platform, and simplifies the process for the clinician. From the technical point of view, the tools embedded in the platform are isolated and versioned through docker images. Along the Galaxy platform, we also introduce the AnalysisManager, a solution allowing single-click analysis for the biologists and leveraging standardized bioinformatics APIs. We added a Shiny/R interactive environment to ease the visualization of the outputs.ConclusionsThe platform relies on containers and ensures the data traceability by recording analytical actions, and by associating inputs and outputs of the tools to the EDAM ontology through ReGaTe. The source code is freely available on Github at https://github.com/CARPEM/GalaxyDocker.",GigaScience,2017
16,P750,Apollo: collaborative and scalable manual genome annotation,conferencePaper,"Manual refinement of automated gene predictions using experimental evidence is a crucial step for improving the quality of a genome's annotation. Apollo, which utilizes the JBrowse genome browser, is a web-based genome annotation editor used by well over one hundred annotation projects. Annotation changes are reflected in real-time (like Google Docs), which facilitates distributed curation efforts. A single Apollo server can scale to support multiple genome projects and regulate access to multiple curators via fine-grained permissions. Apollo has been successfully integrated with Galaxy via Docker, and externally via its web-services, allowing the community to refine predicted genome elements generated via Galaxy workflows. Annotated genomic elements may be exported as FASTA, GFF3, or as a Chado database. We introduce two important features nearing completion. The first is variant annotation, which provides both a way to annotate and visualize variants as well as to visualize individual and combined effects of each variant on a given annotation. The second is coordinate transformation, which allows the visualization of two or more genomic regions, from the length of entire chromosomes to just a few exons, within an artificially constructed ” assemblage”. This facilitates annotation of genomic features split across two or more regions of a fragmented assembly, while informing potential improvements to the genome assembly in the process. Additionally, inter- and intragenic regions can be hidden to focus on regions of interest. For example, bringing the sequences of exons separated by thousands of base-pairs to be shown adjacently. Learn more at http://genomearchitect.org/.",,2017
17,P969,BGDMdocker: a Docker workflow for data mining and visualization of bacterial pan-genomes and biosynthetic gene clusters,journalArticle,"Recently, Docker technology has received increasing attention throughout the bioinformatics community. However, its implementation has not yet been mastered by most biologists, and thus its application in biological research has been limited. In order to popularize this technology in the field of bioinformatics and promote the use of publicly available bioinformatics tools, such as Dockerfiles and Images from communities, governmental, and private owners in Docker Hub Registry and other Docker-based resources, we introduce here a complete and accurate bioinformatics workflow based on Docker to analyze and visualize pan-genomes and biosynthetic gene clusters of bacteria. This provides a new solution for bioinformatics mining of big data from various public biological databases. This step-by-step guide creates an integrative workflow through a Dockerfile to allow researchers to build their own Image and run Container easily.",PeerJ Preprints,2017
18,P1116,Biopipe: A Lightweight System Enabling Comparison of Bioinformatics Tools and Workflows,journalArticle,"Analyzing next generation sequencing data always requires researchers to install many tools, prepare input data compliant to the required data format, and execute the tools in specific orders. Such tool installation and workflow execution process is tedious and error-prone, and becomes very challenging when researchers need to compare multiple alternative tool chains. To mitigate this problem, we developed a new lightweight and portable system, Biopipe, to simplify the creation and execution of bioinformatics tools and workflows, and to further enable the comparison between alternative tools or workflows. Biopipe allows users to create and edit workflows with user-friendly web interfaces, and automates tool installation as well as workflow synthesis by downloading and executing predefined Docker images. With Biopipe, biologists can easily experiment with and compare different bioinformatics tools and workflows without much computer science knowledge. There are mainly two parts in Biopipe: a web application and a standalone Java application. They are freely available at http://bench.cs.vt.edu:8282/Biopipe-Workflow-Editor-0.0.1/index.xhtml and https://code.vt.edu/saima5/Biopipe-Run-Workflow.",bioRxiv,2017
19,P1170,Bringing numerous methods for expression and promoter analysis to a public cloud computing service,journalArticle,"SummaryEvery year, a large number of novel algorithms are introduced to the scientific community for a myriad of applications, but using these across different research groups is often troublesome, due to suboptimal implementations and specific dependency requirements. This does not have to be the case, as public cloud computing services can easily house tractable implementations within self-contained dependency environments, making the methods easily accessible to a wider public. We have taken 14 popular methods, the majority related to expression data or promoter analysis, developed these up to a good implementation standard and housed the tools in isolated Docker containers which we integrated into the CyVerse Discovery Environment, making these easily usable for a wide community as part of the CyVerse UK project.Availability and implementationThe integrated apps can be found at http://www.cyverse.org/discovery-environment, while the raw code is available at https://github.com/cyversewarwick and the corresponding Docker images are housed at https://hub.docker.com/r/cyversewarwick/.Contactinfo@cyverse.warwick.ac.uk or D.L.Wild@warwick.ac.ukSupplementary informationSupplementary data are available at Bioinformatics online.",Bioinformatics,2017
20,P1184,"Building an open, collaborative, online infrastructure for bioinformatics training",conferencePaper,"With the advent of high-throughput platforms, life science data analysis is tightly linked to the use of bioinformatics tools, resources, and high-performance computing. However, the scientists who generate the data often do not have the knowledge required to be fully conversant with such analyses. To involve them in their own data analysis, these scientists must acquire bioinformatics vocabulary and skills through training. Data analysis training is particularly challenging without a computational background. The Galaxy framework is addressing this problem by offering a web-based, intuitive and accessible user interface to numerous bioinformatics tools. Recently, the Galaxy Training Network (GTN) set up a new open, collaborative, online model for delivering high-quality bioinformatics training material: http://galaxyproject.github.io/training-material. Each of the current 12 topics provides tutorials with hands-on, slides and interactive tours. Tours are a new way to go through an entire analysis, step by step inside Galaxy in an interactive and explorative way. All material is openly reviewed, and iteratively developed in one central repository by 40 contributors. Content is written in Markdown and, similarly to Software/Data Carpentry, the model separates presentation from content. In addition, the technological infrastructure needed to teach each topic is described with a list of needed tools. The data (citable via DOI) required for the hands-on, time and resource estimations and flavored Galaxy Docker images are also provided. This material is automatically propagated to Elixir's TeSS portal. With this community effort, the GTN offers an open, collaborative, FAIR and up-to-date infrastructure for delivering high-quality bioinformatics training for scientists.",,2017
21,P1425,"Chiminey: Connecting Scientists to HPC, Cloud and Big Data",journalArticle,"The enabling of scientific experiments increasingly includes data, software, computational and simulation elements, often embarrassingly parallel, long running and data-intensive. Frequently, such experiments are run in a cloud environment or on high-end clusters and supercomputers. Many disciplines in sciences and engineering (and outside computer science) find the requisite computational skills attractive on the one hand but distracting from their science domain on the other. We developed Chiminey under directions by quantum physicists and molecular biologists, to ease the steep learning curve in data management and software platforms, required for the complex computational target systems. Chiminey is a smart connector mediating running specialist algorithms developed for workstations with moderately large data set and relatively small computational grunt. This connector allows the domain scientists to choose the target platform and then manages it automatically; it accepts all the necessary parameters to run many instances of their program regardless of whether this runs on a peak supercomputer, a commercial cloud like Amazon EC2 or (in Australia) the national federated university cloud system NeCTAR. Chiminey negotiates with target system schedulers, dashboards and data bases and provides an easy-to-use dashboard interface to the running jobs, regardless of the specific target platform. The smart connector encapsulates and virtualises a number of further aspects that the domain scientists directing our effort found necessary or desirable. In this article we present Chiminey and guide the reader through a hands-on tutorial of this open-source platform. The only requirement is that the reader has access to one of the supported clouds or cluster platforms – and very likely there is a matching one. The tutorial stages range in difficulty from requiring no to little technical background through to advanced sections, such as programming your own domain-specific extension on top of Chiminey application programmer interfaces. The different exercises we demonstrate include: installing the Docker deployment environment and Chiminey system; registering resources for file stores, Hadoop MapReduce and cloud virtual machines; activating hrmclite and wordcount smart connectors – two demonstrators; running a smart connector and investigating the resulting output files; and building a new smart connector. We also discuss briefly where to find more detailed information on, and what is involved in, contributing to the Chiminey open source code base.",Big Data Research,2017
22,P1587,Coherent Application Delivery on Hybrid Distributed Computing Infrastructures of Virtual Machines and Docker Containers,conferencePaper,,IEEE,2017
23,P1928,Container-based Virtual Elastic Clusters,journalArticle,"EC4Docker create virtual clusters made of containers instead of virtual machines EC4Docker creates self managed elastic clusters that adapt its size to the workload The elasticity is enhanced because containers boot faster than virtual machines Using tools like Docker swarm enables to span the containers across a set of hosts eScience demands large-scale computing clusters to support the efficient execution of resource-intensive scientific applications. Virtual Machines (VMs) have introduced the ability to provide customizable execution environments, at the expense of performance loss for applications. However, in recent years, containers have emerged as a light-weight virtualization technology compared to VMs. Indeed, the usage of containers for virtual clusters allows better performance for the applications and fast deployment of additional working nodes, for enhanced elasticity. This paper focuses on the deployment, configuration and management of Virtual Elastic computer Clusters (VEC) dedicated to processs scientific workloads. The nodes of the scientific cluster are hosted in containers running on bare-metal machines. The open-source tool Elastic Cluster for Docker (EC4Docker) is introduced, integrated with Docker Swarm to create auto-scaled virtual computer clusters of containers across distributed deployments. We also discuss the benefits and limitations of this solution and analyse the performance of the developed tools under a real scenario by means of a scientific use case that demonstrates the feasibility of the proposed approach.",Journal of Systems and Software,2017
24,P1930,Containerizing Conda: Experiences Building 2000 Applications As Portable Docker And Singularity Images,conferencePaper,,,2017
25,P2571,"Dugong: a Docker image, based on Ubuntu Linux, focused on reproducibility and replicability for bioinformatics analyses",journalArticle,"Summary: This manuscript introduces and describes Dugong, a Docker image based on Ubuntu 16.04, which automates installation of more than 3500 bioinformatics tools (along with their respective libraries and dependencies), in alternative computational environments. The software operates through a user-friendly XFCE4 graphic interface that allows software management and installation by users not fully familiarized with the Linux command line and provides the Jupyter Notebook to assist in the delivery and exchange of consistent and reproducible protocols and results across laboratories, assisting in the development of open science projects.Availability and implementation: Source code and instructions for local installation are available at https://github.com/DugongBioinformatics, under the MIT open source license.Contact:Luiz.Nunes@ufabc.edu.brSupplementary Information: Supplementary data available at: https://dugongbioinformatics.github.io/",Bioinformatics,2017
26,P2786,Enhancing Knowledge Discovery from Cancer Genomics Data with Galaxy.,journalArticle,"The field of cancer genomics has demonstrated the power of massively parallel sequencing techniques to inform on the genes and specific alterations that drive tumor onset and progression. Although large comprehensive sequence data sets continue to be made increasingly available, data analysis remains an ongoing challenge, particularly for laboratories lacking dedicated resources and bioinformatics expertise. To address this, we have produced a collection of Galaxy tools that represent many popular algorithms for detecting somatic genetic alterations from cancer genome and exome data. We developed new methods for parallelization of these tools within Galaxy to accelerate runtime and have demonstrated their usability and summarized their runtimes on multiple cloud service providers. Some tools represent extensions or refinement of existing toolkits to yield visualizations suited to cohort-wide cancer genomic analysis. For example, we present Oncocircos and Oncoprintplus, which generate data-rich summaries of exome-derived somatic mutation. Workflows that integrate these to achieve data integration and visualizations are demonstrated on a cohort of 96 diffuse large B-cell lymphomas and enabled the discovery of multiple candidate lymphoma-related genes. Our toolkit is available from our GitHub repository as Galaxy tool and dependency definitions and has been deployed using virtualization on multiple platforms including Docker. \\copyright The Authors 2017. Published by Oxford University Press.",GigaScience,2017
27,P2951,Experiences Building 2000 Applications As Portable Docker And Singularity Images,conferencePaper,"Over the last 5 years, container technologies have gone from a novelty, to a niche, to a necessity for many research communities. As both infrastructure and cyberinfrastructure providers, the authors have worked to support their user communities in their adoption and use of these technologies. While Docker [1] is still the dominant mainstream container technology, the space has begun to fragment as containers move past the hype and into broad usage. Alternative image formats and container runtimes have emerged, providing compelling use cases and advantages over Docker for compute containers [2][3][4][5].",,2017
28,P3330,GeNNet: an integrated platform for unifying scientific workflows and graph databases for transcriptome data analysis,journalArticle,"There are many steps in analyzing transcriptome data, from the acquisition of raw data to the selection of a subset of representative genes that explain a scientific hypothesis. The data produced can be represented as networks of interactions among genes and these may additionally be integrated with other biological databases, such as Protein-Protein Interactions, transcription factors and gene annotation. However, the results of these analyses remain fragmented, imposing difficulties, either for posterior inspection of results, or for meta-analysis by the incorporation of new related data. Integrating databases and tools into scientific workflows, orchestrating their execution, and managing the resulting data and its respective metadata are challenging tasks. Additionally, a great amount of effort is equally required to run in-silico experiments to structure and compose the information as needed for analysis. Different programs may need to be applied and different files are produced during the experiment cycle. In this context, the availability of a platform supporting experiment execution is paramount. We present GeNNet, an integrated transcriptome analysis platform that unifies scientific workflows with graph databases for selecting relevant genes according to the evaluated biological systems. It includes GeNNet-Wf, a scientific workflow that pre-loads biological data, pre-processes raw microarray data and conducts a series of analyses including normalization, differential expression inference, clusterization and gene set enrichment analysis. A user-friendly web interface, GeNNet-Web, allows for setting parameters, executing, and visualizing the results of GeNNet-Wf executions. To demonstrate the features of GeNNet, we performed case studies with data retrieved from GEO, particularly using a single-factor experiment in different analysis scenarios. As a result, we obtained differentially expressed genes for which biological functions were analyzed. The results are integrated into GeNNet-DB, a database about genes, clusters, experiments and their properties and relationships. The resulting graph database is explored with queries that demonstrate the expressiveness of this data model for reasoning about gene interaction networks. GeNNet is the first platform to integrate the analytical process of transcriptome data with graph databases. It provides a comprehensive set of tools that would otherwise be challenging for non-expert users to install and use. Developers can add new functionality to components of GeNNet. The derived data allows for testing previous hypotheses about an experiment and exploring new ones through the interactive graph database environment. It enables the analysis of different data on humans, rhesus, mice and rat coming from Affymetrix platforms. GeNNet is available as an open source platform at https://github.com/raquele/GeNNet and can be retrieved as a software container with the command docker pull quelopes/gennet.",PeerJ,2017
29,P4330,Jupyter and Galaxy: Easing entry barriers into complex data analyses for biomedical researchers,journalArticle,"What does it take to convert a heap of sequencing data into a publishable result? First, common tools are employed to reduce primary data (sequencing reads) to a form suitable for further analyses (i.e., the list of variable sites). The subsequent exploratory stage is much more ad hoc and requires the development of custom scripts and pipelines, making it problematic for biomedical researchers. Here, we describe a hybrid platform combining common analysis pathways with the ability to explore data interactively. It aims to fully encompass and simplify the \""raw data-to-publication\"" pathway and make it reproducible. Galaxy users can utilize a large number of tools and workflows. What they could not previously do is run ad hoc scripts and arbitrary tools within their Galaxy instance. This was very limiting, as initial analyses of data often involve interactive exploration with tools like Jupyter or RStudio—powerful platforms that are becoming increasingly popular in life sciences. Here, we showcase Galaxy Interactive Environment framework, designed to combine Galaxy's tools and workflows with environments such as Jupyter.",PLOS Computational Biology,2017
30,P4509,Making Galaxy user Interface Pluggable with Webhooks,conferencePaper,"Historically Galaxy's implementation of the user interface (UI) did not allow for rich user experience features familiar for users of Facebook, Gmail, GitHub and other sites. To address this Galaxy has been undergoing an architectural transformation towards API-driven framework design. Here we describe benefits of this shift – the new design philosophy allows us to dramatically improve user experience by enabling features and uses that were simply not possible before. In particular, the addition of Galaxy Webhooks – a plug-in system designed for customization of individual Galaxy instances – is one of the prominent developments enabled by the new architecture. Webhooks are configurable and often community-contributed pieces of code altering the UI and providing additional features. The primary benefit to the community will be the ability to personalize Galaxy instances tailoring them to the needs of individual groups. Notable examples of webhooks: Tool Describing Tours - providing capability for executing a 'demo' run of any tool using the tool's own test case and data. This is the ideal medium for guiding and educating users by directly exposing them to tools parameters, inputs and outputs. Overlay Search - allowing rich exploration across all objects in the Galaxy including datasets, tools, histories, workflows, libraries and so on. Tool Flavoring - generating a list of installed tools that can be readily packaged into docker images mimicking the original Galaxy's toolset. We believe webhooks represent a logical result of project's sustained focus on building robust, reliable framework for integration of tools and plugins.",,2017
31,P5153,NGLview–interactive molecular graphics for Jupyter notebooks,journalArticle,"SummaryNGLview is a Jupyter/IPython widget to interactively view molecular structures as well as trajectories from molecular dynamics simulations. Fast and scalable molecular graphics are provided through the NGL Viewer. The widget supports showing data from the file-system, online data bases and from objects of many popular analysis libraries including mdanalysis, mdtraj, pytraj, rdkit and more.Availability and implementationThe source code is freely available under the MIT license at https://github.com/arose/nglview. Python packages are available from PyPI and bioconda. NGLview uses Python on the server-side and JavaScript on the client. The integration with Jupyter is done through the ipywidgets package. The NGL Viewer is embedded client-side to provide WebGL accelerated molecular graphics. Contactasr.moin@gmail.com",Bioinformatics,2017
32,P5388,P-MartCancer–Interactive Online Software to Enable Analysis of Shotgun Cancer Proteomic Datasets,journalArticle,"P-MartCancer is an interactive web-based software environment that enables statistical analyses of peptide or protein data, quantitated from mass spectrometry–based global proteomics experiments, without requiring in-depth knowledge of statistical programming. P-MartCancer offers a series of statistical modules associated with quality assessment, peptide and protein statistics, protein quantification, and exploratory data analyses driven by the user via customized workflows and interactive visualization. Currently, P-MartCancer offers access and the capability to analyze multiple cancer proteomic datasets generated through the Clinical Proteomics Tumor Analysis Consortium at the peptide, gene, and protein levels. P-MartCancer is deployed as a web service (https://pmart.labworks.org/cptac.html), alternatively available via Docker Hub (https://hub.docker.com/r/pnnl/pmart-web/). Cancer Res; 77(21); e47–50. ©2017 AACR.",Cancer Research,2017
33,P5885,Recent object formation in the core of Galaxy,conferencePaper,"Galaxy pursues accessibility, transparency and reproducibility in data-intensive science. It is a web-based framework that automatically tracks analyses and enables researchers to use advanced computational tools and resources while focusing on the research questions rather than the supporting compute infrastructure. In this report we highlight recently added and enhanced features and discuss future directions. The most prominent recent developments are: Conda for dependency resolution. Galaxy has deprecated its own solution (Tool Shed package recipes) for the software package management and embraced the Conda manager for these purposes. This makes tool dependencies more reliable and stable, and they are also easier to test and faster to develop. Interactive Environments integrated into Galaxy interface are powerful tools for interactive ad hoc analyses as demonstrated in a recent paper (doi.org/10.1101/075457). In addition to the Jupyter notebook and RStudio, the Galaxy community has expanded the number of available IEs to include Phinch for metagenomic data visualization, Ethercalc for tabular and csv data, and Neo4j for graph database manipulation. Galaxy Webhooks are a system for adding plugins allowing for customization of individual instances. Webhooks are admin-enabled and often community-contributed pieces of code that alter the interface and offer extra features. Popular webhooks will likely become part of the core UI in the future. Dataset Collections are becoming increasingly powerful - you can now directly create them when uploading datasets, flatten and import them to data libraries, and use many new and improved collection operations tools. Various toolkits were enhanced to handle collections natively. Other notable advancements: You can start up an independent chat server and connect it to Galaxy enabling users to share and collaborate without leaving the analysis interface. Galaxy also supports compressed FASTQ formats allowing to save storage and remove unnecessary steps from workflows. Tool cache and 'hot reload' functionalities have also been added, enabling administrators to update tools without a server restart. The tool cache has also made Galaxy startup much faster, especially for instances with many tools. Histories now allow for drag&drop of datasets as tool inputs and also can propagate dataset tags through tool executions. In the last year 3 new IUC members joined our ranks totalling 15 now. They handled 401 pull requests in last 12 months and added numerous contributions to Bioconda and other connected projects.",,2017
34,P5981,Reproducibility and Practical Adoption of GEOBIA with Open-Source Software in Docker Containers,journalArticle,"Geographic Object-Based Image Analysis (GEOBIA) mostly uses proprietary software,but the interest in Free and Open-Source Software (FOSS) for GEOBIA is growing. This interest stems not only from cost savings, but also from benefits concerning reproducibility and collaboration. Technical challenges hamper practical reproducibility, especially when multiple software packages are required to conduct an analysis. In this study, we use containerization to package a GEOBIA workflow in a well-defined FOSS environment. We explore the approach using two software stacks to perform an exemplary analysis detecting destruction of buildings in bi-temporal images of a conflict area. The analysis combines feature extraction techniques with segmentation and object-based analysis to detect changes using automatically-defined local reference values and to distinguish disappeared buildings from non-target structures. The resulting workflow is published as FOSS comprising both the model and data in a ready to use Docker image and a user interface for interaction with the containerized workflow. The presented solution advances GEOBIA in the following aspects: higher transparency of methodology; easier reuse and adaption of workflows; better transferability between operating systems; complete description of the software environment; and easy application of workflows by image analysis experts and non-experts. As a result, it promotes not only the reproducibility of GEOBIA, but also its practical adoption.",Remote Sensing,2017
35,P6247,Scientific Notebook Software: Applications for Academic Radiology,journalArticle,"The goal of this paper is to introduce the concept of scientific notebook software, and to illustrate how it can be used to document a research project, to perform image analysis and to create interactive teaching tools. We describe the installation of scientific notebook software known as Project Jupyter, which is free, open-source and available for the Macintosh, Windows and Linux operating systems. We have created two scientific notebooks that demonstrate applications germane to radiologists, particularly those in academic radiology. The first notebook provides a tutorial that summarizes basic features of the Project Jupyter notebook, and gives numerous examples of how the notebooks can display explicatory text, perform statistical computations, and display plots, interactive graphics, and audio files. The second notebook provides a toolbox for viewing and manipulating images in the Digital Imaging and Communications in Medicine (DICOM) format. Scientific notebook software allows its users to document their work in a form that combines text, graphics, images, data, interactive calculations and image analysis within a single document. Scientific notebooks also provide interactive teaching tools, which are can help explain complex topics in imaging physics to residents.",Current Problems in Diagnostic Radiology,2017
36,P6322,SeqBox: RNAseq/ChIPseq reproducible analysis on a consumer game computer,journalArticle,"SummaryShort reads sequencing technology has been used for more than a decade now. However, the analysis of RNAseq and ChIPseq data is still computational demanding and the simple access to raw data does not guarantee results reproducibility between laboratories. To address these two aspects, we developed SeqBox, a cheap, efficient and reproducible RNAseq/ChIPseq hardware/software solution based on NUC6I7KYK mini-PC (an Intel consumer game computer with a fast processor and a high performance SSD disk), and Docker container platform. In SeqBox the analysis of RNAseq and ChIPseq data is supported by a friendly GUI. This allows access to fast and reproducible analysis also to scientists with/without scripting experience.Availability and ImplementationDocker container images, docker4seq package and the GUI are available at http://www.bioinformatica.unito.it/reproducibile.bioinformatics.html.Contactbeccuti@di.unito.itSupplementary informationSupplementary data are available at Bioinformatics online.",Bioinformatics,2017
